"LongName","atlantis_fmsy","b_fmsy","depletion","fidx"
"Arrowtooth flounder",0.189927600704125,621874.68,0.342809977692465,4
"Pacific cod",0.348595032087242,786306.586,0.358253589659056,3
"Deep-water flatfish",0.0567927778957129,62111.585,0.295734107930282,3
"Shallow-water flatfish",0.232777898529356,102439.201,0.303320812596281,4
"Flathead sole",0.468890991859738,120081.2568,0.268532001141115,4
"Pacific halibut",0.127416501957771,269584.716,0.414969442910113,3
"Walleye pollock",0.357466031715007,485915.496,0.263458576935736,5
"Pacific Ocean Perch",0.0598118907226125,32797.8464,0.402309140162769,3
"Rex sole",0.167199250017957,53321.74702,0.23608946631564,3
"Rockfish - pelagic shelf assemblage",0.0896527277055377,9222.00808,0.26322547977026,4
"Rockfish - slope assemblage",0.0627351326636812,85911.4498,0.285327573243292,5
"Sablefish",0.137610238852762,73896.1388,0.286568086954218,7
