"idx","species","mfc","f","fidx"
1,"ATF",0,0,1
2,"ATF",0.000176149650168766,0.0643002857142857,2
3,"ATF",0.000352268271638256,0.128600571428571,3
4,"ATF",0.000528355869874209,0.192900857142857,4
5,"ATF",0.000704412450341252,0.257201142857143,5
6,"ATF",0.000880438018503349,0.321501428571429,6
7,"ATF",0.00105643257982313,0.385801714285714,7
8,"ATF",0.00123239613976245,0.450102,8
9,"COD",0,0,1
10,"COD",0.000399137544543349,0.145714285714286,2
11,"COD",0.000798115778307129,0.291428571428571,3
12,"COD",0.00119693476487848,0.437142857142857,4
13,"COD",0.00159559456781877,0.582857142857143,5
14,"COD",0.00199409525066419,0.728571428571429,6
15,"COD",0.00239243687692559,0.874285714285714,7
16,"COD",0.0027906195100883,1.02,8
17,"FFD",0,0,1
18,"FFD",8.68705905239242e-05,0.0317091428571429,2
19,"FFD",0.000173733634548312,0.0634182857142857,3
20,"FFD",0.00026058913272875,0.0951274285714286,4
21,"FFD",0.000347437085720825,0.126836571428571,5
22,"FFD",0.000434277494179902,0.158545714285714,6
23,"FFD",0.000521110358761345,0.190254857142857,7
24,"FFD",0.00060793568012063,0.221964,8
25,"FFS",0,0,1
26,"FFS",0.000206849640844387,0.0755079285714286,2
27,"FFS",0.000413656494914982,0.151015857142857,3
28,"FFS",0.000620420571062041,0.226523785714286,4
29,"FFS",0.000827141878134152,0.302031714285714,5
30,"FFS",0.00103382042497813,0.377539642857143,6
31,"FFS",0.001240456220439,0.453047571428571,7
32,"FFS",0.0014470492733597,0.5285555,8
33,"FHS",0,0,1
34,"FHS",0.000278421507508897,0.101638,2
35,"FHS",0.000556765496481981,0.203276,3
36,"FHS",0.000835031988501989,0.304914,4
37,"FHS",0.00111322100514588,0.406552,5
38,"FHS",0.00139133256798429,0.50819,6
39,"FHS",0.0016693666985822,0.609828,7
40,"FHS",0.00194732341849824,0.711466,8
41,"POL",0,0,1
42,"POL",0.000243639199688617,0.0889391428571429,2
43,"POL",0.000487219039317588,0.177878285714286,3
44,"POL",0.000730739533349345,0.266817428571429,4
45,"POL",0.000974200696242877,0.355756571428571,5
46,"POL",0.00121760254245351,0.444695714285714,6
47,"POL",0.00146094508643324,0.533634857142857,7
48,"POL",0.00170422834263018,0.622574,8
49,"POP",0,0,1
50,"POP",9.4284400347644e-05,0.0344154285714286,2
51,"POP",0.000188559911147301,0.0688308571428572,3
52,"POP",0.000282826533236746,0.103246285714286,4
53,"POP",0.000377084267454419,0.137661714285714,5
54,"POP",0.000471333114638095,0.172077142857143,6
55,"POP",0.000565573075625658,0.206492571428571,7
56,"POP",0.000659804151255106,0.240908,8
57,"REX",0,0,1
58,"REX",0.000232515429849922,0.084878,2
59,"REX",0.000464976796274774,0.169756,3
60,"REX",0.000697384111845056,0.254634,4
61,"REX",0.000929737389128493,0.339512,5
62,"REX",0.0011620366406897,0.42439,6
63,"REX",0.00139428187909063,0.509268,7
64,"REX",0.00162647311689013,0.594146,8
65,"RFP",0,0,1
66,"RFP",8.95239768340383e-05,0.0326777142857143,2
67,"RFP",0.000179039939125603,0.0653554285714286,3
68,"RFP",0.000268547887592341,0.0980331428571429,4
69,"RFP",0.000358047822951457,0.130710857142857,5
70,"RFP",0.000447539745920489,0.163388571428571,6
71,"RFP",0.00053702365721664,0.196066285714286,7
72,"RFP",0.000626499557557225,0.228744,8
73,"RFS",0,0,1
74,"RFS",4.66673259192918e-05,0.0170339714285714,2
75,"RFS",9.33324739992303e-05,0.0340679428571429,3
76,"RFS",0.000139995444341512,0.0511019142857143,4
77,"RFS",0.000186656237047722,0.0681358857142857,5
78,"RFS",0.000233314852219557,0.0851698571428571,6
79,"RFS",0.000279971289958603,0.102203828571429,7
80,"RFS",0.000326625550366444,0.1192378,8
81,"SBF",0,0,1
82,"SBF",7.37682378938453e-05,0.0269264,2
83,"SBF",0.000147531034034754,0.0538528,3
84,"SBF",0.000221288388824181,0.0807792,4
85,"SBF",0.000295040302663474,0.1077056,5
86,"SBF",0.000368786775954089,0.134632,6
87,"SBF",0.00044252780909726,0.1615584,7
88,"SBF",0.000516263402494443,0.1884848,8
89,"HAL",0,0,1
90,"HAL",0.000156543518778585,0.0571428571428571,2
91,"HAL",0.00031306253168395,0.114285714285714,3
92,"HAL",0.000469557042552249,0.171428571428571,4
93,"HAL",0.000626027055219081,0.228571428571429,5
94,"HAL",0.000782472573519599,0.285714285714286,6
95,"HAL",0.000938893601288182,0.342857142857143,7
96,"HAL",0.00109529014235876,0.4,8
